fpl_id,full_name,position,latest_team,2023/24,2024/25,min_2023/24,min_2024/25,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn,aav
118,Jayden Meghoma,DEF,Brentford,,1.0,,4.0,0.08841921533075787,62.18306531579047,0.0,0.0,5,
611,Kaelan Casey,DEF,West Ham,1.0,1.0,1.0,1.0,0.032485852163177634,62.18306531579047,0.0,0.0,5,
412,Vitor de Oliveira Nunes dos Reis,DEF,Man City,,1.0,,1.0,0.022148983986918697,62.18306531579047,0.0,0.0,5,
641,Alfie Pond,DEF,Wolves,,1.0,,1.0,0.022148983986918697,62.18306531579047,0.0,0.0,5,
75,Matai Akinmboni,DEF,Bournemouth,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
45,Lino da Cruz Sousa,DEF,Aston Villa,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
638,Ki-Jana Hoever,DEF,Wolves,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
639,Bastien Meupiyou Menadjou,DEF,Wolves,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
13,Brayden Clarke,DEF,Arsenal,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
482,Harrison Ashby,DEF,Newcastle,0.0,,0.0,,0.0,62.18306531579047,0.0,0.0,5,
576,Ashley Phillips,DEF,Spurs,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
193,Bashir Humphreys,DEF,Burnley,0.0,,0.0,,0.0,62.18306531579047,0.0,0.0,5,
14,Maldini Kacurri,DEF,Arsenal,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
298,Reece Welch,DEF,Everton,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
378,Amara Nallo,DEF,Liverpool,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
379,Rhys Williams,DEF,Liverpool,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
15,Josh Nichols,DEF,Arsenal,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
264,Rob Holding,DEF,Crystal Palace,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
234,Aarón Anselmino,DEF,Chelsea,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
189,Owen Dodgson,DEF,Burnley,0.0,,0.0,,0.0,62.18306531579047,0.0,0.0,5,
114,Benjamin Arthur,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
348,Joe Rodon,DEF,Leeds,0.0,,0.0,,0.0,62.18306531579047,0.0,0.0,5,
483,Miodrag Pivaš,DEF,Newcastle,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
156,Charlie Tasker,DEF,Brighton,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
155,Jacob Slater,DEF,Brighton,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
512,Omar Richards,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
513,Zach Abbott,DEF,Nott'm Forest,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
115,Benjamin Fredrick,DEF,Brentford,0.0,0.0,0.0,0.0,0.0,62.18306531579047,0.0,0.0,5,
323,Samuel Amissah,DEF,Fulham,,0.0,,0.0,0.0,62.18306531579047,0.0,0.0,5,
64,Ollie Watkins,FWD,Aston Villa,228.0,186.0,3222.0,2593.0,189.65624541310117,22.751243465706096,166.90500194739508,36.91,1,
499,Alexander Isak,FWD,Newcastle,172.0,211.0,2253.0,2758.0,185.20023764323219,22.751243465706096,162.4489941775261,35.93,1,
624,Jarrod Bowen,FWD,West Ham,182.0,193.0,3020.0,2974.0,184.9789418234476,22.751243465706096,162.2276983577415,35.88,1,
430,Erling Haaland,FWD,Man City,217.0,181.0,2553.0,2736.0,182.88590594659388,22.751243465706096,160.13466248088778,35.42,1,
525,Chris Wood,FWD,Nott'm Forest,131.0,200.0,1801.0,2958.0,172.02713434907514,22.751243465706096,149.27589088336904,33.01,1,
135,Yoane Wissa,FWD,Brentford,131.0,185.0,2488.0,2921.0,165.04579724531635,22.751243465706096,142.29455377961025,31.47,1,
283,Jean-Philippe Mateta,FWD,Crystal Palace,165.0,150.0,2274.0,2642.0,152.18461921815435,22.751243465706096,129.43337575244826,28.63,1,
596,Dominic Solanke-Mitchell,FWD,Spurs,175.0,108.0,3325.0,2199.0,130.17652024753556,22.751243465706096,107.42527678182947,23.76,1,
251,Nicolas Jackson,FWD,Chelsea,142.0,121.0,2801.0,2220.0,128.96278978587966,22.751243465706096,106.21154632017357,23.49,1,
337,Raúl Jiménez Rodríguez,FWD,Fulham,72.0,147.0,1390.0,2486.0,121.97335140782631,22.751243465706096,99.22210794212022,21.94,1,
30,Kai Havertz,FWD,Arsenal,180.0,97.0,2627.0,1872.0,118.57503580921454,22.751243465706096,95.82379234350844,21.19,1,
249,João Pedro Junqueira de Jesus,FWD,Chelsea,104.0,126.0,2037.0,1946.0,116.90690153638884,22.751243465706096,94.15565807068275,20.82,2,
178,Danny Welbeck,FWD,Brighton,79.0,125.0,1687.0,2109.0,110.09746917478734,22.751243465706096,87.34622570908124,19.32,2,
465,Rasmus Højlund,FWD,Man Utd,112.0,78.0,2156.0,1998.0,94.62293040347603,22.751243465706096,71.87168693776994,15.9,2,
397,Darwin Núñez Ribeiro,FWD,Liverpool,132.0,66.0,2033.0,1113.0,82.26807253968143,22.751243465706096,59.51682907397533,13.16,2,
654,Jørgen Strand Larsen,FWD,Wolves,,145.0,,2587.0,81.88537829164491,22.751243465706096,59.134134825938816,13.08,2,
338,Rodrigo Muniz Carvalho,FWD,Fulham,97.0,86.0,1589.0,943.0,80.77330909373732,22.751243465706096,58.02206562803123,12.83,2,
250,Liam Delap,FWD,Chelsea,,132.0,,2587.0,77.85327895227618,22.751243465706096,55.10203548657009,12.19,2,
311,Norberto Bercique Gomes Betuncal,FWD,Everton,50.0,87.0,943.0,1521.0,75.18460878493913,22.751243465706096,52.43336531923303,11.6,2,
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,,128.0,,2317.0,73.47041130640777,22.751243465706096,50.71916784070167,11.22,2,
284,Eddie Nketiah,FWD,Crystal Palace,71.0,53.0,1065.0,1018.0,57.864159296189406,22.751243465706096,35.11291583048331,7.77,2,
